ccn,cms_name,cms_name_as_of,state,hospital_type,ownership,beds,latitude,longitude,prior_names
020001,PROVIDENCE ALASKA MEDICAL CENTER,2023-10,AK,Acute Care,Voluntary non-profit - Church,394.0,61.189798,-149.817622,
020006,MAT-SU REGIONAL MEDICAL CENTER,2023-10,AK,Acute Care,Voluntary non-profit - Private,90.0,61.561217,-149.258718,
020008,BARTLETT REGIONAL HOSPITAL,2023-10,AK,Acute Care,Government - Local,58.0,58.328696,-134.466829,
020012,FAIRBANKS MEMORIAL HOSPITAL,2023-10,AK,Acute Care,Voluntary non-profit - Other,213.0,64.831407,-147.736254,
020017,ALASKA REGIONAL HOSPITAL,2023-10,AK,Acute Care,Proprietary,169.0,61.20979,-149.827379,
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,2023-10,AK,Acute Care,Tribal,34.0,,,
020024,CENTRAL PENINSULA GENERAL HOSPITAL,2023-10,AK,Acute Care,Voluntary non-profit - Other,186.0,60.493865,-151.077658,
020026,ALASKA NATIVE MEDICAL CENTER,2023-10,AK,Acute Care,Government - Federal,163.0,61.18189,-149.800578,
020027,MT EDGECUMBE HOSPITAL,2016-11,AK,Acute Care,Voluntary non-profit - Private,26.0,,,
021301,PROVIDENCE VALDEZ MEDICAL CENTER,2023-10,AK,Critical Access,Government - Local,21.0,,,
021302,PROVIDENCE SEWARD HOSPITAL,2023-10,AK,Critical Access,Government - Local,46.0,60.105046,-149.445383,
021303,SITKA COMMUNITY HOSPITAL,2020-01,AK,Critical Access,Government - Local,26.0,,,
021304,PETERSBURG MEDICAL CENTER,2023-10,AK,Critical Access,Government - Local,27.0,,,
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,2023-10,AK,Critical Access,Government - Local,22.0,56.471646,-132.376414,WRANGELL MEDICAL CENTER
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,2023-10,AK,Critical Access,Voluntary non-profit - Church,46.0,57.800835,-152.373943,
021307,CORDOVA COMMUNITY MEDICAL CENTER,2023-10,AK,Critical Access,Government - Local,23.0,,,
021308,NORTON SOUND REGIONAL HOSPITAL,2023-10,AK,Critical Access,Tribal,36.0,,,
021309,BRISTOL BAY AREA HEALTH CORPORATION,2023-10,AK,Critical Access,Voluntary non-profit - Private,16.0,,,KANAKANAK HOSPITAL
021310,MANIILAQ HEALTH CENTER,2023-10,AK,Critical Access,Tribal,17.0,,,
